iter	Logloss
0	0.6347997071
1	0.5842582331
2	0.5488044313
3	0.5118242356
4	0.4852458853
5	0.4577789377
6	0.4354610522
7	0.4200366336
8	0.4057083669
9	0.3900659831
10	0.3762353533
11	0.3674636466
12	0.3594481875
13	0.3506144761
14	0.3446687914
15	0.337325442
16	0.3302524918
17	0.3254094188
18	0.3198863814
19	0.3165686725
20	0.3131845105
21	0.3105400934
22	0.3080017422
23	0.3054046312
24	0.3030876712
25	0.3014751885
26	0.2988877471
27	0.2974889181
28	0.295730789
29	0.2942103801
30	0.2920982791
31	0.2907489955
32	0.2894378626
33	0.2883596101
34	0.2873195078
35	0.2865124734
36	0.2857073185
37	0.2848106454
38	0.283995303
39	0.2833010367
40	0.2827718296
41	0.2821855084
42	0.2814977349
43	0.2809309652
44	0.2804419744
45	0.2799534158
46	0.2793351774
47	0.2790369658
48	0.2784620583
49	0.2780296942
50	0.2776828917
51	0.2766878445
52	0.2763207068
53	0.2758255298
54	0.2754681466
55	0.2749099867
56	0.2744318229
57	0.2742276778
58	0.2739123454
59	0.2734689358
60	0.2731969458
61	0.2728851651
62	0.2724079327
63	0.2714186015
64	0.2704231335
65	0.270229494
66	0.2698664823
67	0.2696006197
68	0.2693588883
69	0.2690587973
70	0.2687464125
71	0.2685002976
72	0.2683577092
73	0.2680240112
74	0.2677937789
75	0.2674962435
76	0.2672902956
77	0.2669915866
78	0.2668924235
79	0.266736161
80	0.2666513115
81	0.2664162621
82	0.2661879024
83	0.2656282903
84	0.2654383638
85	0.2651906253
86	0.2649347219
87	0.2648120327
88	0.2645750019
89	0.264409003
90	0.2641973259
91	0.2640288329
92	0.2638300654
93	0.2636990375
94	0.2635493096
95	0.2634303177
96	0.2633178367
97	0.2630912749
98	0.2625888935
99	0.2625099885
100	0.2623056387
101	0.2621108885
102	0.2618790649
103	0.2617466991
104	0.2615541167
105	0.2614172884
106	0.2612835874
107	0.2611129387
108	0.2610095718
109	0.2605306173
110	0.2604591412
111	0.2600886306
112	0.2598992334
113	0.2598306003
114	0.2596652147
115	0.2594806264
116	0.2592862486
117	0.258907778
118	0.2587904993
119	0.258705235
120	0.2585487436
121	0.2584678827
122	0.2583145632
123	0.2579926411
124	0.2577725743
125	0.2576467755
126	0.2575623097
127	0.2574662985
128	0.2573756163
129	0.2571895408
130	0.2570761829
131	0.2569966433
132	0.2568546215
133	0.2566963977
134	0.2565555823
135	0.2564155882
136	0.2563194211
137	0.2562460416
138	0.2561044571
139	0.2560075552
140	0.2559210708
141	0.2558194822
142	0.2556624086
143	0.2555401475
144	0.2554678651
145	0.2553051976
146	0.2550635224
147	0.2549449047
148	0.2548396703
149	0.2547516615
150	0.254601268
151	0.254536123
152	0.2544240312
153	0.2542611006
154	0.2541303191
155	0.2539739136
156	0.2539208701
157	0.2537913232
158	0.2537342183
159	0.2536351436
160	0.2534252156
161	0.2533316839
162	0.2532628574
163	0.253108356
164	0.2530679613
165	0.2530182255
166	0.2529423857
167	0.2528789245
168	0.2526910095
169	0.2526517521
170	0.2525649687
171	0.2525096635
172	0.2524161972
173	0.2523336729
174	0.2522955315
175	0.252125461
176	0.2520402378
177	0.2519688628
178	0.251899818
179	0.2518148346
180	0.2517337153
181	0.2516752444
182	0.2515633376
183	0.2514836437
184	0.2513449883
185	0.2512304528
186	0.2510626956
187	0.2510227833
188	0.2509688988
189	0.2509397693
190	0.2508547492
191	0.2507895998
192	0.2507159912
193	0.2506289865
194	0.2505753933
195	0.2505346809
196	0.2504988389
197	0.2503900321
198	0.2503473559
199	0.2502436217
200	0.2501791126
201	0.2501463245
202	0.2501005268
203	0.2500352848
204	0.2499846946
205	0.2499520303
206	0.249901802
207	0.2498531374
208	0.2498041712
209	0.2497648196
210	0.2497157063
211	0.2496764481
212	0.2496187346
213	0.2495563781
214	0.2494654963
215	0.2493983415
216	0.2493362103
217	0.2492892665
218	0.249180983
219	0.2490831789
220	0.2490354728
221	0.248996802
222	0.2488944308
223	0.2488596131
224	0.2488085842
225	0.2487518241
226	0.2486805707
227	0.2486024616
228	0.2485473905
229	0.2484904041
230	0.2484408132
231	0.248355284
232	0.2483014326
233	0.2482575633
234	0.2481913071
235	0.2481131232
236	0.2480425078
237	0.2478858143
238	0.2478393629
239	0.2477906517
240	0.2477673474
241	0.2477392568
242	0.2476816288
243	0.2476507304
244	0.2475865232
245	0.2474577327
246	0.2474082182
247	0.247331155
248	0.2472829602
249	0.2472243325
250	0.2471987729
251	0.2471635909
252	0.2471364393
253	0.2470521038
254	0.2469767745
255	0.2468969373
256	0.2468334004
257	0.2467554588
258	0.2466995316
259	0.2466697086
260	0.2466092917
261	0.2465441877
262	0.2465053097
263	0.2464547703
264	0.2464203319
265	0.2463575843
266	0.2463355583
267	0.2462975276
268	0.2462566634
269	0.2461365162
270	0.2460957028
271	0.2460529993
272	0.2459792982
273	0.2459039253
274	0.2458482258
275	0.2457726322
276	0.2457321794
277	0.2456321351
278	0.2455920512
279	0.245561127
280	0.2454945606
281	0.2454430585
282	0.2454112029
283	0.2453812969
284	0.2453176143
285	0.2452805591
286	0.2451586644
287	0.245106054
288	0.2450655301
289	0.2450208251
290	0.2449609954
291	0.2449128143
292	0.2448720291
293	0.2448173721
294	0.2447802404
295	0.2447356783
296	0.2446610725
297	0.2445556831
298	0.2445175923
299	0.2444704797
300	0.2444426296
301	0.2443976532
302	0.2443632331
303	0.2443004646
304	0.2442420833
305	0.2441868476
306	0.2441527253
307	0.2441103188
308	0.2440365287
309	0.2439322823
310	0.2438954493
311	0.2438611126
312	0.2438268747
313	0.2437517971
314	0.2436676264
315	0.2436355176
316	0.2435744146
317	0.2435505364
318	0.2434978296
319	0.2434621628
320	0.2434269534
321	0.2433848912
322	0.2433530665
323	0.2433033753
324	0.2432073738
325	0.2431560899
326	0.2431151957
327	0.2430312346
328	0.2430049414
329	0.2429833267
330	0.2429562755
331	0.2429230564
332	0.2428842115
