iter	Passed	Remaining
0	445	1335553
1	919	1377863
2	1330	1329132
3	1723	1291035
4	2093	1253822
5	2495	1245442
6	2971	1270393
7	3360	1256689
8	3778	1255593
9	4182	1250713
10	4701	1277393
11	5213	1298267
12	5721	1314534
13	6176	1317408
14	6664	1326148
15	7175	1338161
16	7694	1350150
17	8206	1359483
18	8800	1380740
19	9328	1389965
20	9851	1397487
21	10335	1399028
22	10821	1400645
23	11309	1402377
24	11755	1398916
25	12260	1402379
26	12737	1402512
27	13219	1403168
28	13736	1407250
29	14241	1409947
30	14757	1413425
31	15301	1419172
32	15772	1418057
33	16254	1417949
34	16741	1418237
35	17244	1419781
36	17694	1417031
37	18184	1417433
38	18726	1421795
39	19193	1420314
40	19612	1415475
41	20318	1431028
42	20848	1433721
43	21306	1431386
44	21812	1432345
45	22286	1431207
46	22782	1431436
47	23219	1427981
48	23664	1425170
49	24140	1424266
50	24615	1423327
51	25132	1424835
52	25618	1424497
53	26097	1423777
54	26574	1422934
55	27007	1419835
56	27495	1419641
57	27974	1418975
58	28479	1419617
59	28957	1418905
60	29415	1417256
61	29865	1415227
62	30360	1415364
63	30830	1414336
64	31297	1413202
65	31778	1412689
66	32214	1410209
67	32690	1409542
68	33185	1409664
69	33651	1408562
70	34075	1405720
71	34574	1406034
72	35076	1406424
73	35544	1405457
74	36031	1405211
75	36512	1404759
76	37016	1405180
77	37533	1406075
78	37994	1404818
79	38495	1405101
80	38942	1403375
81	39443	1403627
82	39926	1403200
83	40425	1403333
84	40877	1401851
85	41360	1401439
86	41856	1401468
87	42297	1399671
88	42744	1398089
89	43202	1396875
90	43634	1394860
91	44210	1397449
92	44669	1396290
93	45134	1395339
94	45558	1393120
95	45992	1391269
96	46400	1388662
97	46865	1387794
98	47326	1386815
99	47778	1385586
100	48270	1385509
101	48702	1383733
102	49162	1382744
103	49689	1383666
104	50215	1384523
105	50628	1382266
106	51111	1381919
107	51546	1380302
108	51967	1378322
109	52385	1376309
110	52847	1375457
111	53272	1373673
112	53726	1372653
113	54099	1369564
114	54481	1366780
115	54911	1365221
116	55387	1364796
117	55858	1364273
118	56277	1362488
119	56728	1361481
120	57169	1360244
121	57567	1358027
122	57977	1356102
123	58448	1355626
124	58801	1352441
125	59104	1348137
126	59391	1343565
127	59676	1338988
128	59935	1333913
129	60220	1329488
130	60546	1326017
131	60821	1321495
132	61138	1317918
133	61444	1314178
134	61730	1310068
135	62043	1306573
136	62323	1302417
137	62590	1298078
138	62890	1294456
139	63179	1290676
140	63467	1286912
141	63890	1285916
142	64189	1282443
143	64476	1278782
144	64759	1275092
145	65026	1271135
146	65315	1267661
147	65603	1264199
148	65912	1261183
149	66187	1257570
150	66515	1254979
151	66808	1251788
152	67102	1248636
153	67377	1245162
154	67649	1241693
155	67953	1238845
156	68246	1235830
157	68531	1232705
158	68842	1230077
159	69120	1226887
160	69382	1223464
161	69660	1220355
162	69954	1217544
163	70222	1214333
164	70480	1210985
165	70762	1208082
166	71075	1205733
167	71351	1202788
168	71644	1200146
169	71950	1197764
170	72251	1195313
171	72526	1192465
172	72814	1189872
173	73059	1186591
174	73336	1183855
175	73595	1180869
176	73853	1177897
177	74127	1175219
178	74411	1172713
179	74679	1169979
180	74974	1167693
181	75232	1164863
182	75514	1162420
183	75775	1159696
184	76061	1157363
185	76325	1154733
186	76602	1152315
187	76857	1149587
188	77124	1147076
189	77365	1144198
190	77636	1141787
191	77924	1139652
192	78210	1137498
193	78525	1135782
194	78857	1134337
195	79147	1132299
196	79434	1130229
197	79771	1128882
198	80084	1127222
199	80414	1125800
200	80698	1123754
201	80999	1121962
202	81293	1120093
203	81607	1118497
204	81904	1116703
205	82205	1114957
206	82521	1113439
207	82840	1111979
208	83148	1110363
209	83481	1109114
210	83846	1108287
211	84142	1106555
212	84464	1105179
213	84744	1103263
214	85031	1101457
215	85311	1099573
216	85565	1097370
217	85883	1095995
218	86176	1094323
219	86432	1092194
220	86699	1090216
221	86988	1088529
222	87271	1086784
223	87568	1085218
224	87821	1083130
225	88273	1083503
226	88733	1083950
227	89256	1085176
228	89715	1085599
229	90179	1086080
230	90645	1086566
231	91110	1087037
232	91549	1087197
233	91972	1087164
234	92364	1086752
235	92811	1086999
236	93291	1087613
237	93833	1088940
238	94274	1089090
239	94715	1089228
240	95190	1089749
241	95598	1089507
242	96046	1089712
243	96490	1089865
244	96957	1090277
245	97348	1089830
246	97823	1090310
247	98270	1090484
248	98695	1090402
249	99145	1090603
250	99580	1090624
251	100013	1090622
252	100410	1090226
253	100865	1090456
254	101283	1090283
255	101723	1090344
256	102260	1091438
257	102690	1091381
258	103136	1091498
259	103575	1091521
260	104021	1091625
261	104516	1092242
262	104926	1091958
263	105331	1091622
264	105828	1092227
265	106308	1092654
266	106744	1092632
267	107198	1092787
268	107654	1092955
269	108130	1093314
270	108582	1093442
271	109081	1094020
272	109579	1094593
273	110371	1098073
274	110748	1097412
275	111180	1097307
276	111611	1097174
277	112043	1097059
278	112486	1097044
279	112953	1097265
280	113447	1097736
281	113879	1097608
282	114343	1097777
283	114770	1097593
284	115291	1098305
285	115773	1098634
286	116214	1098569
287	116731	1099223
288	117196	1099375
289	117620	1099147
290	118081	1099249
291	118487	1098853
292	118975	1099199
293	119436	1099301
294	119873	1099177
295	120276	1098741
296	120772	1099150
297	121213	1099057
298	121588	1098364
299	122025	1098231
300	122451	1097998
301	122920	1098143
302	123366	1098080
303	123825	1098132
304	124297	1098301
305	124743	1098230
306	125217	1098403
307	125660	1098304
308	126173	1098809
309	126636	1098877
310	127067	1098664
311	127512	1098572
312	127958	1098482
313	128430	1098612
314	128900	1098727
315	129365	1098788
316	129782	1098444
317	130254	1098558
318	130713	1098563
319	131123	1098159
320	131622	1098491
321	132039	1098138
322	132478	1097975
323	132925	1097867
324	133329	1097406
325	133745	1097041
326	134301	1097821
327	134738	1097623
328	135214	1097744
329	135799	1098741
330	136296	1099021
331	136750	1098946
332	137137	1098333
