f1,f2,algorithm,cv_auc
Driver,Compound,LightGBM,0.6833531311274308
Driver,Compound,LogReg,0.6510504729572468
Driver,Compound,DecisionTree,0.7050711119667937
Driver,Compound,RandomForest,0.707458299055702
Driver,Race,LightGBM,0.6008290120868649
Driver,Race,LogReg,0.513124680142585
Driver,Race,DecisionTree,0.608044662923931
Driver,Race,RandomForest,0.6347854350536926
Driver,Year,LightGBM,0.692464100837804
Driver,Year,LogReg,0.5991514008597993
Driver,Year,DecisionTree,0.7074365369174741
Driver,Year,RandomForest,0.7099319518016961
Driver,PitStop,LightGBM,0.561776938649321
Driver,PitStop,LogReg,0.5315892154282171
Driver,PitStop,DecisionTree,0.5789441848042163
Driver,PitStop,RandomForest,0.5810893638204354
Driver,Stint,LightGBM,0.7648486131572894
Driver,Stint,LogReg,0.6876768150774197
Driver,Stint,DecisionTree,0.7715474955387882
Driver,Stint,RandomForest,0.7748074421386288
Driver,TyreLife,LightGBM,0.687254183313589
Driver,TyreLife,LogReg,0.6992409294520159
Driver,TyreLife,DecisionTree,0.7073363266766921
Driver,TyreLife,RandomForest,0.7116272848479883
Driver,Position,LightGBM,0.563009852806033
Driver,Position,LogReg,0.5316109920115514
Driver,Position,DecisionTree,0.576021300802396
Driver,Position,RandomForest,0.5827389416672356
Driver,LapTime (s),LightGBM,0.6029098364465565
Driver,LapTime (s),LogReg,0.5524523004892837
Driver,LapTime (s),DecisionTree,0.6308381842293067
Driver,LapTime (s),RandomForest,0.6437693017533365
Driver,LapTime_Delta,LightGBM,0.7029566701359026
Driver,LapTime_Delta,LogReg,0.5154934973507923
Driver,LapTime_Delta,DecisionTree,0.706155217974157
Driver,LapTime_Delta,RandomForest,0.713415751464481
Driver,Cumulative_Degradation,LightGBM,0.6754326386494358
Driver,Cumulative_Degradation,LogReg,0.6131460535024894
Driver,Cumulative_Degradation,DecisionTree,0.6765174228122449
Driver,Cumulative_Degradation,RandomForest,0.687411035386295
Driver,RaceProgress,LightGBM,0.739412510924361
Driver,RaceProgress,LogReg,0.6638501974854524
Driver,RaceProgress,DecisionTree,0.736004876337856
Driver,RaceProgress,RandomForest,0.7446632417624838
Driver,Position_Change,LightGBM,0.6801106471807884
Driver,Position_Change,LogReg,0.5418783356200016
Driver,Position_Change,DecisionTree,0.6882332919264003
Driver,Position_Change,RandomForest,0.6911056561210369
Compound,Race,LightGBM,0.7608987747231044
Compound,Race,LogReg,0.6534408422152276
Compound,Race,DecisionTree,0.7448138410724775
Compound,Race,RandomForest,0.7578982494137032
Compound,Year,LightGBM,0.829268466939916
Compound,Year,LogReg,0.6886269463515508
